TIME,CH,ADC
121758664,19,360
121759808,14,359
121759928,19,360
121761072,14,359
121761192,19,360
121762336,14,359
121762456,19,360
121763600,14,359
121763720,19,360
121764868,14,359
121764992,19,360
121766136,14,359
121766256,19,360
121767400,14,359
121767520,19,360
121768664,14,359
121768784,19,361
121769928,14,361
121770048,19,360
121771192,14,359
121771312,19,360
121772456,14,359
121772576,19,360
121773720,14,359
121773840,19,360
121774984,14,359
121775108,19,360
121776256,14,359
121776376,19,360
121777520,14,359
121777640,19,360
121778784,14,359
121778904,19,360
121780048,14,359
121780168,19,360
121781312,14,359
121781432,19,360
121782576,14,359
121782696,19,361
121783840,14,359
121783960,19,360
121785104,14,359
121785224,19,360
121786372,14,359
121786496,19,360
121787640,14,360
121787760,19,361
121788904,14,359
121789024,19,360
121790168,14,359
121790288,19,360
121791432,14,359
121791552,19,360
121792696,14,359
121792816,19,360
121793960,14,359
121794080,19,360
121795224,14,359
121795344,19,360
121796488,14,359
121796612,19,360
121797760,14,359
121797880,19,360
121799024,14,359
121799144,19,361
121800288,14,359
121800408,19,360
121801552,14,359
121801672,19,360
121802816,14,359
121802936,19,360
121804080,14,359
121804200,19,360
121805344,14,359
121805464,19,360
121806608,14,359
121806728,19,361
121807876,14,359
121808000,19,360
121809144,14,359
121809264,19,359
121810408,14,359
121810528,19,360
121811672,14,359
121811792,19,360
121812936,14,359
121813056,19,360
121814200,14,359
121814320,19,360
121815464,14,359
121815584,19,360
121816728,14,359
121816848,19,361
121817992,14,359
121818116,19,360
121819264,14,359
121819384,19,360
121820528,14,359
121820648,19,360
121821792,14,359
121821912,19,360
121823056,14,358
121823176,19,360
121824320,14,360
121824440,19,361
121825584,14,359
121825704,19,360
121826848,14,359
121826968,19,360
121828112,14,359
121828232,19,361
121829380,14,359
121829504,19,360
121830648,14,360
121830768,19,361
121831912,14,359
121832032,19,360
121833176,14,358
121833296,19,360
121834440,14,360
121834560,19,361
121835704,14,359
121835824,19,360
121836968,14,359
121837088,19,360
121838232,14,359
121838352,19,360
121839496,14,361
121839620,19,360
121840768,14,360
121840888,19,361
121842032,14,359
121842152,19,360
121843296,14,359
121843416,19,360
121844560,14,359
121844680,19,360
121845824,14,359
121845944,19,360
121847088,14,359
121847208,19,360
121848352,14,359
121848472,19,360
121849616,14,359
121849736,19,360
121850884,14,359
121851008,19,360
121852152,14,359
121852272,19,360
121853416,14,359
121853536,19,360
121854680,14,359
121854800,19,360
121855944,14,359
121856064,19,360
121857208,14,359
121857328,19,360
121858472,14,359
121858592,19,360
121859736,14,359
121859856,19,360
121861000,14,359
121861124,19,360
121862272,14,359
121862392,19,360
121863536,14,359
121863656,19,360
121864800,14,360
121864920,19,361
121866064,14,359
121866184,19,361
121867328,14,359
121867448,19,360
121868592,14,359
121868712,19,361
121869856,14,359
121869976,19,360
121871120,14,359
121871240,19,360
121872388,14,359
121872512,19,360
121873656,14,359
121873776,19,361
121874920,14,359
121875040,19,360
121876184,14,359
121876304,19,360
121877448,14,359
121877568,19,359
121878712,14,359
121878832,19,360
121879976,14,359
121880096,19,360
121881240,14,359
121881360,19,360
121882504,14,359
121882632,19,360
121883776,14,359
121883896,19,360
121885040,14,359
121885160,19,360
121886304,14,359
121886424,19,360
121887568,14,359
121887688,19,360
121888832,14,359
121888952,19,360
121890096,14,359
121890216,19,360
121891360,14,359
121891480,19,360
121892624,14,359
121892744,19,360
121893896,14,359
121894016,19,360
121895160,14,359
121895280,19,360
121896424,14,359
121896544,19,360
121897688,14,359
121897808,19,360
121898952,14,359
121899072,19,360
121900216,14,359
121900336,19,360
121901480,14,359
121901600,19,360
121902744,14,359
121902864,19,360
121904008,14,359
121904136,19,360
121905280,14,359
121905400,19,360
121906544,14,359
121906664,19,360
121907808,14,359
121907928,19,360
121909072,14,361
121909192,19,361
121910336,14,359
121910456,19,360
121911600,14,359
121911720,19,360
121912864,14,359
121912984,19,360
121914128,14,359
121914248,19,360
121915396,14,359
121915520,19,361
121916664,14,361
121916784,19,361
121917928,14,359
121918048,19,361
121919192,14,360
121919312,19,361
121920456,14,360
121920576,19,361
121921720,14,361
121921840,19,362
121922984,14,360
121923104,19,361
121924248,14,360
121924368,19,362
121925512,14,362
121925636,19,362
121926784,14,360
121926904,19,362
121928048,14,361
121928168,19,362
121929312,14,360
121929432,19,361
121930576,14,360
121930696,19,362
121931840,14,360
121931960,19,361
121933104,14,361
121933224,19,362
121934368,14,361
121934488,19,362
121935632,14,361
121935752,19,362
121936900,14,361
121937024,19,363
121938168,14,362
121938288,19,363
121939432,14,361
121939552,19,363
121940696,14,361
121940816,19,362
121941960,14,361
121942080,19,362
121943224,14,361
121943344,19,361
121944488,14,359
121944608,19,361
121945752,14,359
121945872,19,360
121947016,14,359
121947144,19,361
121948288,14,360
121948408,19,361
121949552,14,359
121949672,19,361
121950816,14,360
121950936,19,361
121952080,14,359
121952200,19,361
121953344,14,360
121953464,19,361
121954608,14,360
121954728,19,361
121955872,14,359
121955992,19,361
121957136,14,360
121957256,19,362
121958404,14,362
121958528,19,361
121959672,14,359
121959792,19,361
121960936,14,359
121961056,19,361
121962200,14,360
121962320,19,362
121963464,14,359
121963584,19,361
121964728,14,359
121964848,19,360
121965992,14,359
121966112,19,360
121967256,14,359
121967376,19,360
121968520,14,359
121968648,19,360
121969792,14,359
121969912,19,360
121971056,14,360
121971176,19,360
