TIME,CH,ADC
363753385,11,12971
363753491,34,632
363754801,11,12977
363754908,34,640
363756218,11,12978
363756325,34,634
363757636,11,12981
363757743,34,625
363759053,11,12987
363759159,34,620
363760468,11,12985
363760575,34,611
363761885,11,12976
363761991,34,602
363763302,11,12984
363763409,34,602
363764725,11,12985
363764832,34,601
363766142,11,12995
363766249,34,605
363767565,11,12965
363767671,34,617
363768982,11,13004
363769088,34,626
363770398,11,13088
363770510,34,637
363771821,11,12974
363771928,34,637
363773237,11,12997
363773344,34,632
363774655,11,12964
363774761,34,636
363776072,11,12995
363776178,34,600
363777488,11,12976
363777595,34,611
363778905,11,12961
363779012,34,601
363780323,11,13027
363780429,34,604
363781745,11,12999
363781852,34,605
363783162,11,12981
363783269,34,612
363784579,11,12978
363784686,34,621
363785996,11,12978
363786103,34,628
363787412,11,12994
363787525,34,634
363788836,11,12978
363788943,34,640
363790253,11,12979
363790359,34,625
363791670,11,12978
363791777,34,620
363793087,11,12986
363793193,34,614
363794503,11,13214
363794610,34,606
363795921,11,12981
363796027,34,598
363797338,11,12999
363797444,34,557
363798754,11,12993
363798861,34,582
363800171,11,13014
363800278,34,607
363801588,11,12964
363801695,34,636
363803004,11,12974
363803110,34,636
363804420,11,12969
363804532,34,636
363805843,11,12970
363805949,34,636
363807259,11,12997
363807366,34,622
363808676,11,12984
363808783,34,621
363810094,11,12986
363810200,34,608
363811517,11,12439
363811624,34,538
363812933,11,12990
363813040,34,596
363814350,11,13286
363814456,34,610
363815766,11,12983
363815873,34,606
363817183,11,12980
363817289,34,620
363818599,11,12988
363818706,34,627
363820016,11,12983
363820122,34,632
363821432,11,12979
363821544,34,631
363822854,11,12961
363822961,34,632
363824272,11,13011
363824378,34,624
363825687,11,12990
363825794,34,616
363827103,11,12944
363827210,34,609
363828527,11,13005
363828633,34,601
363829944,11,13070
363830050,34,602
363831361,11,12989
363831467,34,598
363832778,11,12887
363832885,34,608
363834194,11,12984
363834301,34,619
363835611,11,12973
363835717,34,626
363837027,11,12961
363837134,34,636
363838443,11,13004
363838550,34,632
363839859,11,12972
363839966,34,630
363841277,11,12994
363841383,34,616
363842700,11,12970
363842807,34,614
363844117,11,12966
363844224,34,607
363845539,11,12986
363845646,34,599
363846956,11,12870
363847063,34,591
363848373,11,12980
363848480,34,607
363849790,11,12966
363849897,34,606
363851207,11,12975
363851314,34,621
363852625,11,12978
363852732,34,630
363854042,11,12984
363854148,34,632
363855459,11,12972
363855566,34,606
363856875,11,12986
363856981,34,626
363858290,11,12970
363858397,34,610
363859713,11,12928
363859820,34,606
363861129,11,12958
363861236,34,608
363862552,11,12970
363862659,34,604
363863969,11,13104
363864076,34,613
363865386,11,12995
363865492,34,603
363866803,11,12981
363866910,34,614
363868220,11,12981
363868327,34,625
363869638,11,12966
363869744,34,632
363871054,11,12955
363871160,34,633
363872469,11,13014
363872576,34,638
363873887,11,12938
363873993,34,626
363875304,11,12999
363875410,34,618
363876727,11,12974
363876833,34,614
363878144,11,12973
363878251,34,600
363879565,11,13003
363879671,34,602
363880981,11,12987
363881088,34,604
363882398,11,13162
363882510,34,613
363883821,11,12936
363883928,34,549
363885237,11,12991
363885344,34,640
363886655,11,12976
363886762,34,645
363888073,11,13009
363888179,34,637
363889489,11,12938
363889596,34,627
363890907,11,12980
363891013,34,632
363892323,11,12970
363892430,34,620
363893746,11,12993
363893853,34,611
363895163,11,12974
363895269,34,600
363896579,11,13036
363896686,34,604
363897996,11,12975
363898103,34,598
363899413,11,12984
363899525,34,613
363900836,11,12970
363900943,34,632
363902253,11,12988
363902359,34,628
363903670,11,12967
363903776,34,630
363905086,11,12986
363905193,34,634
363906503,11,12973
363906610,34,626
363907921,11,13040
363908027,34,622
363909338,11,13016
363909444,34,612
363910755,11,12978
363910862,34,651
363912172,11,12978
363912279,34,622
363913589,11,12972
363913695,34,596
363915005,11,12977
363915112,34,597
363916422,11,12983
363916534,34,615
363917844,11,12963
363917951,34,616
363919261,11,13246
363919367,34,636
363920676,11,12965
363920783,34,636
363922093,11,12973
363922199,34,632
363923514,11,12944
363923621,34,624
363924930,11,12964
363925037,34,616
363926348,11,13187
363926454,34,577
363927764,11,12962
363927871,34,612
363929181,11,13033
363929288,34,605
363930598,11,12951
363930704,34,604
363932015,11,13060
363932121,34,616
363933431,11,12963
363933543,34,604
363934853,11,12973
363934960,34,630
363936271,11,12951
363936378,34,631
363937688,11,12752
363937795,34,628
363939106,11,12967
363939212,34,621
363940528,11,12981
363940634,34,620
363941945,11,12986
363942051,34,612
363943362,11,12987
363943468,34,611
363944778,11,13006
363944885,34,598
363946194,11,12981
363946301,34,602
363947611,11,12964
363947718,34,606
363949029,11,12970
363949135,34,612
363950445,11,12960
363950552,34,619
363951862,11,12985
363951968,34,628
363953279,11,12984
363953386,34,634
363954702,11,12959
363954809,34,631
363956118,11,12961
363956224,34,626
363957539,11,12988
363957646,34,619
363958956,11,12932
363959063,34,609
363960373,11,12989
363960479,34,613
363961790,11,12976
363961897,34,592
363963207,11,12970
363963314,34,597
363964625,11,12969
363964732,34,606
363966042,11,12975
363966148,34,615
363967457,11,12961
363967564,34,618
363968873,11,12957
363968980,34,622
363970289,11,12977
363970395,34,636
363971712,11,12980
363971819,34,633
363973128,11,12959
363973235,34,625
363974551,11,12983
363974657,34,621
363975968,11,12961
363976075,34,609
