TIME,CH,ADC
3006273704,19,237
3006274840,14,335
3006274968,19,237
3006276112,14,336
3006276240,19,237
3006277384,14,336
3006277512,19,238
3006279936,14,336
3006280064,19,237
3006281200,14,336
3006281328,19,238
3006282472,14,336
3006283744,14,336
3006283872,19,237
3006285016,14,336
3006285144,19,237
3006286288,14,336
3006286416,19,237
3006287560,14,336
3006287688,19,237
3006288824,14,335
3006288952,19,237
3006290096,14,336
3006290224,19,237
3006291360,14,335
3006291488,19,237
3006292632,14,336
3006292760,19,237
3006293904,14,336
3006294032,19,238
3006295176,14,336
3006295304,19,237
3006296448,14,335
3006296576,19,237
3006297720,14,336
3006297848,19,237
3006298992,14,336
3006299120,19,237
3006300264,14,336
3006300392,19,237
3006301536,14,336
3006301664,19,237
3006302800,14,336
3006302928,19,237
3006304072,14,336
3006304200,19,237
3006305336,14,336
3006305464,19,237
3006306608,14,336
3006306736,19,237
3006307880,14,336
3006308008,19,237
3006309152,14,336
3006309280,19,237
3006310424,14,335
3006310552,19,237
3006311696,14,335
3006311824,19,237
3006312968,14,335
3006313096,19,237
3006314240,14,336
3006314368,19,237
3006315512,14,336
3006315648,19,237
3006316784,14,335
3006316912,19,237
3006318056,14,335
3006318184,19,237
3006319328,14,336
3006319456,19,237
3006320600,14,336
3006320728,19,237
3006321864,14,335
3006321992,19,237
3006323136,14,335
3006323264,19,237
3006324408,14,335
3006324536,19,237
3006325680,14,336
3006325808,19,237
3006326952,14,336
3006327080,19,237
3006328224,14,336
3006328352,19,237
3006329496,14,336
3006329624,19,237
3006330768,14,336
3006330896,19,237
3006332040,14,336
3006332168,19,237
3006333304,14,336
3006333432,19,237
3006334576,14,335
3006334704,19,237
3006335848,14,336
3006335976,19,237
3006337120,14,335
3006337248,19,237
3006338392,14,335
3006338520,19,237
3006339664,14,336
3006339792,19,237
3006340936,14,335
3006341064,19,237
3006342208,14,336
3006342336,19,237
3006343480,14,336
3006343608,19,237
3006344744,14,335
3006344872,19,237
3006346016,14,335
3006346144,19,237
3006347288,14,336
3006347416,19,237
3006348560,14,335
3006348688,19,237
3006349832,14,336
3006349960,19,237
3006351104,14,336
3006351232,19,237
3006352376,14,336
3006352512,19,237
3006353656,14,336
3006353784,19,237
3006354928,14,336
3006355056,19,237
3006356192,14,336
3006356320,19,237
3006357464,14,336
3006357592,19,237
3006358736,14,336
3006358864,19,237
3006360008,14,336
3006360136,19,237
3006361272,14,336
3006361400,19,237
3006362544,14,336
3006362672,19,238
3006363816,14,336
3006363944,19,237
3006365088,14,336
3006365216,19,238
3006366360,14,335
3006366488,19,237
3006367632,14,335
3006367760,19,237
3006368904,14,336
3006369032,19,237
3006370176,14,336
3006370304,19,237
3006371448,14,336
3006371576,19,238
3006372720,14,336
3006372848,19,238
3006373992,14,336
3006374120,19,237
3006375264,14,336
3006375392,19,237
3006376536,14,336
3006376664,19,237
3006377808,14,336
3006377936,19,238
3006379080,14,335
3006379208,19,237
3006380352,14,336
3006380480,19,237
3006381624,14,336
3006381752,19,237
3006382896,14,336
3006383024,19,237
3006384160,14,336
3006384288,19,238
3006385432,14,335
3006385560,19,237
3006386704,14,336
3006386832,19,237
3006387976,14,336
3006388104,19,237
3006389256,14,336
3006389384,19,237
3006390528,14,336
3006390656,19,237
3006391800,14,336
3006391928,19,237
3006393072,14,336
3006393200,19,237
3006394344,14,335
3006394472,19,237
3006395616,14,335
3006395744,19,237
3006396888,14,336
3006397016,19,237
3006398160,14,336
3006398288,19,237
3006399432,14,335
3006399560,19,237
3006400704,14,336
3006400832,19,237
3006401976,14,336
3006402104,19,237
3006403240,14,335
3006403368,19,237
3006404512,14,336
3006404640,19,238
3006405784,14,336
3006405912,19,237
3006407056,14,336
3006407184,19,237
3006408320,14,335
3006408448,19,237
3006409592,14,336
3006409720,19,237
3006410864,14,336
3006410992,19,237
3006412136,14,335
3006412264,19,237
3006413408,14,335
3006413536,19,237
3006414680,14,335
3006414808,19,237
3006415952,14,336
3006416080,19,237
3006417224,14,336
3006417352,19,237
3006418496,14,335
3006418624,19,237
3006419768,14,335
3006419896,19,237
3006421040,14,336
3006421168,19,237
3006422312,14,335
3006422440,19,237
3006423584,14,336
3006423712,19,237
3006424848,14,336
3006424976,19,237
3006426120,14,336
3006426248,19,237
3006427392,14,336
3006427520,19,237
3006428664,14,335
3006428792,19,237
3006429936,14,336
3006430064,19,237
3006431200,14,335
3006431328,19,237
3006432472,14,335
3006432600,19,237
3006433744,14,335
3006433872,19,237
3006435016,14,336
3006435144,19,237
3006436280,14,335
3006436408,19,237
3006437552,14,336
3006437680,19,237
3006438824,14,336
3006438952,19,237
3006440096,14,336
3006440224,19,237
3006441368,14,336
3006441496,19,238
3006442640,14,335
3006442768,19,237
3006443912,14,335
3006444040,19,237
3006445184,14,335
3006445312,19,237
3006446456,14,336
3006446584,19,237
3006447720,14,335
3006447848,19,237
3006448992,14,335
3006449120,19,237
3006450264,14,335
3006450392,19,237
3006451536,14,336
3006451664,19,237
3006452808,14,336
3006452936,19,237
3006454080,14,336
3006454208,19,238
3006455352,14,335
3006455480,19,237
3006456624,14,335
3006456752,19,237
3006457896,14,335
3006458024,19,237
3006459160,14,336
3006459288,19,237
3006460432,14,336
3006460560,19,238
3006461704,14,336
3006461832,19,237
3006462984,14,335
3006463112,19,237
3006464256,14,335
3006464384,19,237
3006465528,14,336
3006465656,19,237
3006466800,14,336
3006466928,19,237
3006468072,14,335
3006468200,19,237
3006469344,14,336
3006469472,19,237
3006470616,14,336
3006470744,19,237
3006471888,14,336
3006472016,19,237
3006473160,14,336
3006473288,19,237
3006474432,14,335
3006474560,19,237
3006475704,14,336
3006475832,19,237
3006476976,14,336
3006477104,19,237
3006478248,14,335
3006478376,19,237
3006479520,14,335
3006479648,19,237
3006480792,14,336
3006480920,19,237
3006482064,14,337
3006482192,19,237
3006483336,14,336
3006483464,19,237
3006484608,14,336
3006484736,19,237
3006485872,14,335
3006486000,19,237
3006487144,14,335
3006487272,19,237
3006488416,14,336
3006488544,19,237
3006489688,14,336
3006489816,19,237
3006490960,14,335
3006491088,19,237
3006492232,14,335
3006492360,19,237
3006493504,14,335
3006493632,19,237
3006494776,14,336
