UTC datetime,Wed Aug  9 20:19:48 2023
UTC timestamp,1691612388.69357
`---`,,
{
  "program_name": "Multi Device Example",
  "data_file_prefix": "../analysis_code/thermistor_data/multi_device_example/mde_",
  "delay_on_empty": 0.01,
  "device_list": [
    {
      "port": "/dev/ttyUSB0",
      "device_name": "TEST ARDUINO 1",
      "baudrate": 230400,
      "ignore_first_lines": 10,
      "check_port_exists": false,
      "collection_mode": "duration",
      "collection_duration": 10,
      "collection_count": null,
      "delay_on_empty": 0.01,
      "max_voltage": 2,
      "bit_resolution": 14,
      "channel_list": [
        {
          "channel_name": "Channel 1",
          "pin_id": 29,
          "pin_delay": 500,
          "sensor_type": "thermistor",
          "ref_resistance": 10000,
          "ref_voltage": 3.3,
          "sensor_id": "00"
        },
        {
          "channel_name": "Channel 2",
          "pin_id": 11,
          "pin_delay": 500,
          "sensor_type": "thermistor",
          "ref_resistance": 10000,
          "ref_voltage": 3.3,
          "sensor_id": "01"
        }
      ]
    }
  ]
}
`---`,,
COMPTIME,DEVID,CH,TIME,ADC
1691612389.2976558,0,11,332870,16383
1691612389.2992268,0,29,334096,13232
1691612389.2992268,0,11,334197,16383
1691612389.2993436,0,29,335424,13277
1691612389.2993436,0,11,335531,16383
1691612389.301295,0,29,336759,13139
1691612389.301295,0,11,336860,16383
1691612389.3026757,0,29,338087,13244
1691612389.3026757,0,11,338188,16383
1691612389.3042555,0,29,339415,13239
1691612389.3042555,0,11,339522,16383
1691612389.3056464,0,29,340750,13252
1691612389.3056464,0,11,340851,16383
1691612389.3076334,0,29,342077,13253
1691612389.3076334,0,11,342178,16383
1691612389.3077514,0,29,343404,13260
1691612389.3077514,0,11,343511,16383
1691612389.3093717,0,29,344739,13260
1691612389.3093717,0,11,344841,16383
1691612389.3106918,0,29,346067,13236
1691612389.3106918,0,11,346168,16383
1691612389.3122482,0,29,347394,13252
1691612389.3122482,0,11,347495,16383
1691612389.3142185,0,29,348722,13228
1691612389.3142185,0,11,348824,16383
1691612389.3143156,0,29,350051,13248
1691612389.3143156,0,11,350153,16383
1691612389.315687,0,29,351380,13229
1691612389.315687,0,11,351481,16383
1691612389.3173268,0,29,352708,13254
1691612389.3173268,0,11,352809,16383
1691612389.3192492,0,29,354036,13240
1691612389.3192492,0,11,354137,16383
1691612389.320642,0,29,355363,13218
1691612389.320642,0,11,355464,16383
1691612389.3207328,0,29,356691,13253
1691612389.3207328,0,11,356792,16383
1691612389.322296,0,29,358019,13213
1691612389.322296,0,11,358120,16383
1691612389.3242688,0,29,359347,13255
1691612389.3242688,0,11,359448,16383
1691612389.325661,0,29,360674,13231
1691612389.325661,0,11,360776,16383
1691612389.3272345,0,29,362003,13204
1691612389.3272345,0,11,362104,16383
1691612389.329212,0,29,363331,13211
1691612389.329212,0,11,363438,16383
1691612389.3293335,0,29,364666,13252
1691612389.3293335,0,11,364768,16383
1691612389.330681,0,29,365997,13232
1691612389.330681,0,11,366098,16383
1691612389.3322608,0,29,367325,13245
1691612389.3322608,0,11,367426,16383
1691612389.3336504,0,29,368659,13235
1691612389.3336504,0,11,368760,16383
1691612389.3356407,0,29,369988,13238
1691612389.3356407,0,11,370089,16383
1691612389.3357584,0,29,371316,13260
1691612389.3357584,0,11,371418,16383
1691612389.337291,0,29,372651,13225
1691612389.337291,0,11,372752,16383
1691612389.338672,0,29,373980,13230
1691612389.338672,0,11,374081,16383
1691612389.3402517,0,29,375308,13228
1691612389.3402517,0,11,375409,16383
1691612389.3422277,0,29,376643,13236
1691612389.3422277,0,11,376744,16383
1691612389.342347,0,29,377971,13229
1691612389.342347,0,11,378072,16383
1691612389.3436918,0,29,379300,13261
1691612389.3436918,0,11,379401,16383
1691612389.3452754,0,29,380634,13235
1691612389.3452754,0,11,380736,16383
1691612389.3472533,0,29,381963,13244
1691612389.3472533,0,11,382064,16383
1691612389.348646,0,29,383292,13237
1691612389.348646,0,11,383393,16383
1691612389.3502269,0,29,384626,13244
1691612389.3502269,0,11,384727,16383
1691612389.3503497,0,29,385955,13254
1691612389.3503497,0,11,386056,16383
1691612389.3522837,0,29,387282,13314
1691612389.3522837,0,11,387383,16383
1691612389.3536663,0,29,388616,13204
1691612389.3536663,0,11,388717,16383
1691612389.355241,0,29,389944,13257
1691612389.355241,0,11,390045,16383
1691612389.3572206,0,29,391273,13254
1691612389.3572206,0,11,391374,16383
1691612389.357339,0,29,392600,13258
1691612389.357339,0,11,392701,16383
1691612389.3586864,0,29,393928,13260
1691612389.3586864,0,11,394030,16383
1691612389.360268,0,29,395257,13228
1691612389.360268,0,11,395359,16383
1691612389.3616567,0,29,396585,13249
1691612389.3616567,0,11,396686,16383
1691612389.363647,0,29,397913,13236
1691612389.363647,0,11,398014,16383
1691612389.3637643,0,29,399242,13177
1691612389.3637643,0,11,399343,16383
1691612389.3652961,0,29,400576,13244
1691612389.3652961,0,11,400677,16383
1691612389.3666754,0,29,401904,13253
1691612389.3666754,0,11,402006,16383
1691612389.3682554,0,29,403233,13233
1691612389.3682554,0,11,403335,16383
1691612389.3702257,0,29,404567,13081
1691612389.3702257,0,11,404668,16383
1691612389.3716295,0,29,405895,13223
1691612389.3716295,0,11,405996,16383
1691612389.371717,0,29,407223,13246
1691612389.371717,0,11,407324,16383
1691612389.373282,0,29,408557,13258
1691612389.373282,0,11,408658,16383
1691612389.3752604,0,29,409885,13238
1691612389.3752604,0,11,409986,16383
1691612389.376661,0,29,411213,13261
1691612389.376661,0,11,411314,16383
1691612389.3782148,0,29,412547,13256
1691612389.3782148,0,11,412648,16383
1691612389.3783324,0,29,413874,13258
1691612389.3783324,0,11,413975,16383
1691612389.3802896,0,29,415202,13234
1691612389.3802896,0,11,415303,16383
1691612389.3816705,0,29,416536,13177
1691612389.3816705,0,11,416638,16383
1691612389.3832464,0,29,417864,13237
1691612389.3832464,0,11,417966,16383
1691612389.3852317,0,29,419192,13239
1691612389.3852317,0,11,419294,16383
1691612389.3853552,0,29,420527,13196
1691612389.3853552,0,11,420628,16383
1691612389.3866923,0,29,421855,12480
1691612389.3866923,0,11,421956,16383
1691612389.388275,0,29,423183,13228
1691612389.388275,0,11,423284,16383
1691612389.3896606,0,29,424516,13263
1691612389.3896606,0,11,424618,16383
1691612389.391233,0,29,425844,13213
1691612389.391233,0,11,425946,16383
1691612389.3932116,0,29,427173,13254
1691612389.3932116,0,11,427274,16383
1691612389.3933322,0,29,428502,13239
1691612389.3933322,0,11,428603,16383
1691612389.394681,0,29,429831,13246
1691612389.394681,0,11,429932,16383
1691612389.3962622,0,29,431160,13298
1691612389.3962622,0,11,431261,16383
1691612389.39823,0,29,432488,13228
1691612389.39823,0,11,432590,16383
1691612389.3996391,0,29,433817,13238
1691612389.3996391,0,11,433918,16383
1691612389.399767,0,29,435146,13250
1691612389.399767,0,11,435247,16383
1691612389.4012914,0,29,436473,13250
1691612389.4012914,0,11,436575,16383
1691612389.4032655,0,29,437802,13285
1691612389.4032655,0,11,437903,16383
1691612389.404658,0,29,439130,13268
1691612389.404658,0,11,439231,16383
1691612389.4062274,0,29,440458,13248
1691612389.4062274,0,11,440560,16383
1691612389.4063466,0,29,441786,13263
1691612389.4063466,0,11,441887,16383
1691612389.4082813,0,29,443114,13239
1691612389.4082813,0,11,443215,16383
1691612389.4096756,0,29,444442,13237
1691612389.4096756,0,11,444544,16383
1691612389.4112542,0,29,445770,13279
1691612389.4112542,0,11,445871,16383
1691612389.412646,0,29,447098,13236
1691612389.412646,0,11,447199,16383
1691612389.4146328,0,29,448425,13226
1691612389.4146328,0,11,448532,16383
1691612389.4147508,0,29,449760,13234
1691612389.4147508,0,11,449861,16383
1691612389.4162657,0,29,451089,13239
1691612389.4162657,0,11,451190,16383
1691612389.4176662,0,29,452416,13241
1691612389.4176662,0,11,452523,16383
1691612389.4192398,0,29,453751,13249
1691612389.4192398,0,11,453853,16383
1691612389.4212155,0,29,455079,13239
1691612389.4212155,0,11,455180,16383
1691612389.4213285,0,29,456406,13224
1691612389.4213285,0,11,456513,16383
1691612389.4226866,0,29,457741,13225
1691612389.4226866,0,11,457842,16383
1691612389.424267,0,29,459069,13191
1691612389.424267,0,11,459170,16383
1691612389.4262362,0,29,460397,13235
1691612389.4262362,0,11,460498,16383
1691612389.427646,0,29,461725,13244
1691612389.427646,0,11,461827,16383
1691612389.4277637,0,29,463053,13256
